You can locate yourself in this list by going to http://passwordsgenerator.net/md5-hash-generator/ and entering your SUNet ID (e.g., ckincaid). Search for the MD5 hash result in this list to find the numbers of the lectures for which you should give feedback. Refer to the schedule (cs106a.stanford.edu/schedule) to see the date that corresponds to each lecture number. If you cannot find your hash in this list, please go to https://cs198.stanford.edu/cs198/auth/Profile.aspx to confirm that the SUNet ID that we have on file for you is the one you tried to use. If you still cannot find yourself, please email the head TA.

On your assigned lecture days (and other days if you feel so inclined), please submit feedback at https://goo.gl/forms/B4r5slzkdJxpdrEf1.
0671FF7BD8C247C834F83853E461EE54: [14, 25]
95EC65786CCD655A73455012EDDEEFA4: [7, 16]
47E46B61623E52AD384759D99DF7B26C: [14, 23]
43ED3AC0B465EB5D35C7F43A1B3AC76D: [1, 16]
9B7446DEB00797D4E75118FEA8F00081: [10, 25]
288EBC5F1E7ECCC6A79B401954577170: [16, 22]
9432D15D95B819182037C8125F16BD60: [11, 24]
B734EDD6524F03C8D15AA2B981604C90: [9, 25]
CFF2FF210912C8DAEBF4DCDE9B596212: [6, 17]
2924AFF9FF64F92EFE0CF9BF85732462: [16, 26]
2E959437D0C04E207F0AEB4A7D162959: [1, 21]
0C7D79EBB891F633A5642D246F3F8772: [1, 23]
4413AFD52AF0FD99FC0BC896120F9BD2: [1, 18]
3F5701E6C711C01679F271F86DDD08B2: [9, 24]
01B964D16749EC3A1BEDA90B6001F410: [11, 23]
9877A610C3D89E2AA749CE505E9AF4A4: [8, 19]
5220BD5272A76B2F8D9D1347F6B1262F: [5, 26]
BDAE46375D4934172FE367484FD8434D: [4, 24]
B65AC45398F87EF8C0704D59C5EC9563: [2, 18]
D25D0FC577F5032CDA5CA2D49D208A72: [13, 26]
C56B061D5F808996F8A7366350B9A73E: [5, 15]
2AE7ACE2FA42AC0A7D3DE328DCA6B793: [5, 16]
9FA75916A002B491DF529EFCF2954BAF: [10, 23]
59CC818C6BAC8998DC45C4CCF987FE5A: [6, 26]
699C7A62BA3298C6DD8069F64D70CCE0: [7, 19]
BFFC391B093B54EFFC269445A7FEB247: [4, 28]
82D231CAB20C58DE2872B174EBD2E5F0: [3, 26]
698726164CA0D51B3188FC73BCAFA99A: [13, 22]
13DEFED2F4D3311A61129EA3543BABAD: [9, 19]
58E81F4310E095C94599E9D7869F2A58: [9, 25]
A3A1579E111B8EDD92C05F22C9B32D55: [10, 25]
C216148D5AC213A18C15AD38F1C0E737: [13, 19]
6CD6B1A33C3B00D3C5E35F52BDBAC958: [1, 18]
F2F486C78B0A2B426C06FBD1EF9E52EE: [10, 22]
8DE086EF472C1592AE5807BB5C9CBC6B: [8, 20]
8957D458AEF2280F70B8021905FBE7D5: [5, 20]
20927D07DF34F15D5446537E0E878EB9: [9, 20]
2D75A833DE8A38DFF78FFB4183CD8672: [1, 15]
29C2E3A205C79F529439793A1ECE4591: [12, 16]
1F7C96B1134E9F605B2F10860B1D256D: [14, 28]
461EBC1653627B6ACCD4E2E800BFBE3A: [1, 20]
5701C2F96251BA3EE9142EB578A99386: [7, 24]
574B73D84A4236887D5D211AA31CFB82: [12, 21]
EA5DA10AA5811A9F638C365513001A89: [3, 25]
4CBD4468D704E2507B02D34DDBCE520D: [5, 17]
68A053BA16F5D2DBE60CE2311D9C7FFE: [2, 22]
DB47D0821BAAC8EA7FCD2B831AD85D80: [4, 22]
2B14E4B321ACDB72922BDB61907F29FC: [17, 21]
1FB3D24CBA59E8C0FF5002249FBA9A2A: [5, 15]
4198CB1FB9A7E024F88B5825DD482836: [9, 16]
1263FF1A5F40F71CB6A0748E7E3D8694: [8, 19]
79C465B072CD013503F9B2C1EDC0913A: [17, 19]
E90472FA63C3C24E2EF056A9DA31683A: [12, 27]
0BC8B5C9565D0DE243EFC831F4D06E7A: [2, 28]
9E868947E7D0BA5F69193208B4CDAD35: [13, 20]
FF4AA42DC5B2EC43813662BBDBE22008: [7, 26]
55D0BA990288E555557B182761AEFD97: [9, 27]
E05C9A3463BF910D665DD211BD70E756: [13, 23]
3812D6BD925FD575A97324318FC1F975: [2, 16]
47E889EA063B994354E7A3B0A9B9C9A7: [4, 24]
30FE196FD97416417BCD89AC95166A6A: [4, 28]
77C9462D38B90242A5121D7FD79BCF1E: [1, 15]
7F2C7E3DDB8A6A7AD1C9B0D3C532F84A: [11, 17]
03EC4EA89977487A311949B64128A2A4: [13, 15]
EFF0DD6626FFA2E3059E0BECAC0F879E: [3, 19]
C6C042AE3DBA1194AFB72DB2129A7B38: [8, 24]
512EECA4F93CF3DF150A1D33D1C637FF: [8, 27]
D404EDD96283FFB685F92D13EC736CBE: [13, 25]
B311882698CA0FD8221C0F348A4158DD: [7, 23]
86D14E010247EC21301944D1E9689D74: [11, 19]
62BEC4070234DCCC32B1F66B6A8C5CBB: [11, 24]
FCA46EF27CA41B628F4F9D7D4DFFB012: [12, 21]
3C035A44B3C2635A45051F21C9BC5CF2: [6, 26]
77455D34BF225C0E5D345234301F990E: [12, 26]
49773CBCC9938A9C4615CE39908E8C7F: [8, 28]
6746380843945B78227EB27D5E7E1EC0: [5, 18]
7B13737F66B7F0F4B43705434CDFEE68: [12, 22]
11446C81E0CA97B12BBA42750063E5ED: [13, 20]
885A873DF9AC62036D9DA31E5CE1CC8F: [13, 25]
779F7668C813A165A94B2439A85A27AA: [5, 24]
EEE7C63000FE2BD6E4F01212F97F300E: [9, 22]
D6E754E10F17B48043BCE088FE75376E: [12, 18]
67756933A81F29D1105AEC8AE130D664: [1, 20]
79B8D2963F41DFFB962E3B730248813C: [1, 24]
943E7E1FD1585241DEC326307DF65337: [10, 17]
