218cd4582bf9a5384fd5582459e86793: [3, 17]
9f1594203fde71e90e547fcec039d934: [8, 22]
55d0ba990288e555557b182761aefd97: [9, 27]
86bddf85be1bc4214b93b60656d6932b: [10, 21]
c216148d5ac213a18c15ad38f1c0e737: [13, 19]
c6c042ae3dba1194afb72db2129a7b38: [8, 24]
0671ff7bd8c247c834f83853e461ee54: [14, 25]
eff0dd6626ffa2e3059e0becac0f879e: [3, 19]
f2f486c78b0a2b426c06fbd1ef9e52ee: [10, 22]
7c92eaa1929dbe44a4d9978a83cc66b4: [7, 27]
f9bb8db7a55aed6160ccaec70f41205a: [7, 21]
894485e69672188a0705005b9daebc11: [13, 15]
2192f4ab6a16fec4e25514a5c86fb324: [6, 22]
3812d6bd925fd575a97324318fc1f975: [2, 16]
bffc391b093b54effc269445a7feb247: [4, 28]
a388df470b66159558abe59cb35141c4: [1, 15]
3c035a44b3c2635a45051f21c9bc5cf2: [6, 26]
df433cd6d2f01c08559bb3737b466db7: [14, 24]
64f3326654202a3cca4cdec3ef74da3a: [11, 20]
5c01d2bb1216f6d0ded5e69e9064e6e8: [5, 24]
df9fd3470ce3bbc7d1119fbb059db50e: [14, 18]
aa3b28474aec0f9bb241e1f91408ad24: [5, 17]
6b4c8c8fa7a725af869f3a95f5cfaa0a: [4, 28]
2613e22c71833364fc9c10819ceafa52: [6, 20]
0c7d79ebb891f633a5642d246f3f8772: [1, 23]
bd197e8905af84fe56d5055449f2abfc: [4, 26]
34572c0424d458d57783a1681fc6b01b: [6, 20]
1d6dd443aaa440453336e60c7eb3a41e: [12, 23]
b734edd6524f03c8d15aa2b981604c90: [9, 25]
c6bde0565cc87b2630d0680ba1276192: [12, 19]
d5b933bff4f2dfcc60423f732b3bfce7: [9, 16]
77455d34bf225c0e5d345234301f990e: [12, 26]
9432d15d95b819182037c8125f16bd60: [11, 24]
30fe196fd97416417bcd89ac95166a6a: [4, 28]
ff4aa42dc5b2ec43813662bbdbe22008: [7, 26]
eeab6ddd8f0a7bfcf74ad0afd1561635: [11, 16]
6ea044fe119aaa004a9be8d4806dd170: [11, 27]
0f8d4d5355eed7624ba5faaa3938ddb9: [1, 15]
911bdc36902c061427c48b048386c67f: [8, 25]
77c9462d38b90242a5121d7fd79bcf1e: [1, 15]
5b39784bdf2def478939c193975112c3: [13, 22]
7338d168cdd5b65dba3f1e0daf9ab0e7: [1, 19]
20927d07df34f15d5446537e0e878eb9: [9, 20]
584ad2a82dbeab5d7078c07f194cf210: [12, 17]
01b964d16749ec3a1beda90b6001f410: [11, 23]
ba1c7b1a821a90ce062c6c1709c908d1: [8, 24]
323d72a752556f3f64ceb616a10a2f1f: [9, 27]
4de5b20ec591a5c335525b80ebee11d9: [12, 28]
49773cbcc9938a9c4615ce39908e8c7f: [8, 28]
85757eaa5196cb1bc04b0e9197913263: [7, 24]
d25d0fc577f5032cda5ca2d49d208a72: [13, 26]
7cc60e98c20f5dc50fea0559db0d81e5: [14, 21]
4f56c7d361e9baafb5673526b4aef1ac: [1, 28]
e7bb463dad90320258db812c0d190930: [2, 23]
d9a7d3780f067e3c007323f9e8efcaf2: [7, 15]
4413afd52af0fd99fc0bc896120f9bd2: [1, 18]
f60393841a1aaead3ae25bbcabf82b95: [14, 18]
3034eba67524e531235cc43f04d4f88c: [7, 27]
d65c389068e7b0162e959a52334292d1: [3, 17]
eeee2158cb7d7a56c0046417bd56150c: [10, 27]
cad052144e933af17afa9de44fa42524: [14, 25]
5220bd5272a76b2f8d9d1347f6b1262f: [5, 26]
4fb52b5f2404eaa5bd9e72f24e11f125: [8, 26]
3646a3ca28e8e5c736f979a591914ca4: [10, 28]
6c821889e6ce30b394fd27bb032840ee: [13, 26]
5703ef72e8b70911ff2bd21b21a36d58: [13, 17]
c56b061d5f808996f8a7366350b9a73e: [5, 15]
b2f38a11d9468b41a7cbea02a998d10b: [10, 20]
864a5c5339675703dde69e90b4c55dd3: [5, 27]
e28355da26004c8796435f0db449d127: [10, 16]
6bc204cf328894a9b5790d96e5193b3a: [3, 26]
70b66f76eb0cd60c5053698fb47670ae: [4, 22]
b1cf3a17c7e936a04140bfe7ff9f44ea: [3, 17]
595a8cf9689b44358cae75ca8819e307: [13, 20]
278ed8ef5150ba19c87f60d4c8cfa9eb: [4, 20]
a71f4f36b652d3b770cef50952e3ba72: [8, 27]
633359bda8b6f5bffe001acd606be7fa: [9, 25]
11446c81e0ca97b12bba42750063e5ed: [13, 20]
9b7446deb00797d4e75118fea8f00081: [10, 25]
d30a9c4038d5df133b691c6e867722a9: [14, 16]
d6e754e10f17b48043bce088fe75376e: [12, 18]
5701c2f96251ba3ee9142eb578a99386: [7, 24]
7d5556c37cb0cd397b9d09bd5e539b25: [14, 19]
03ec4ea89977487a311949b64128a2a4: [13, 15]
4a01b062846d50aed210d2afef624819: [2, 20]
779f7668c813a165a94b2439a85a27aa: [5, 24]
7f2c7e3ddb8a6a7ad1c9b0d3c532f84a: [11, 17]
daf30667af0acb048cca085450c9a194: [4, 21]
1263ff1a5f40f71cb6a0748e7e3d8694: [8, 19]
1a11fe24f8b410bd969805020e2099f7: [5, 15]
82d231cab20c58de2872b174ebd2e5f0: [3, 26]
47e46b61623e52ad384759d99df7b26c: [14, 23]
d54e11cd2e55e1ed415ad1f30074633d: [8, 22]
331e21d9e064153f851c17ff9398ec04: [11, 19]
649761d3a6ec4bfdfa420f356f251e4d: [3, 21]
cff2ff210912c8daebf4dcde9b596212: [6, 17]
b726dc3f734dedc1259ef261939092e5: [3, 24]
d9b840f443dda8c47c325c36cd3adf41: [9, 18]
3746103aa78903b1550d0caa31d31ed6: [11, 17]
10b6a5fe881d3d7eea3f507f68548c80: [7, 22]
f4b08e7cc0a94bb8f4e9969eeb532039: [14, 27]
1c755c56259c13e5ee5d3e37aa9dec78: [9, 24]
643fe5c590d0c67d55a39f80d706d549: [6, 26]
62bec4070234dccc32b1f66b6a8c5cbb: [11, 24]
37eb3ba5a37d6e3a02f8b4712f74c265: [10, 25]
9514829f133f08a8d38c33bf10bdea9a: [14, 21]
0013e99b31dab7abffe1c2ac97f2718e: [9, 26]
668f4e389a4db061cf130440a748a089: [6, 26]
88dcb287e8f3d8213ef94cef22e64ce4: [7, 27]
50bd5095431b9ef3f1d3d660922d23c3: [3, 28]
59cc818c6bac8998dc45c4ccf987fe5a: [6, 26]
6746380843945b78227eb27d5e7e1ec0: [5, 18]
a5a73ac0a66737f3e8334dab24e7802c: [10, 17]
089d8ba37cc9225f138167bc9089c91f: [3, 28]
3920020409b79396ebccd3797663a01a: [13, 16]
c763cc8a3efdec9a0c2aad3ff73829bb: [2, 16]
934459b5710b1581128f77835dbd4b34: [12, 24]
cb030ae0ff07a87485da53f602c0a7b3: [6, 15]
9e868947e7d0ba5f69193208b4cdad35: [13, 20]
bdae46375d4934172fe367484fd8434d: [4, 24]
fca46ef27ca41b628f4f9d7d4dffb012: [12, 21]
59f296f379c0846b8990cf54a4d9244d: [12, 25]
4bd23d9942542e9745a133ec6d28443c: [11, 17]
06abe0948f10518cb75955199660c015: [12, 17]
8ab0a14fdf70f3701bbf6b702a8c2008: [1, 15]
47e889ea063b994354e7a3b0a9b9c9a7: [4, 24]
ba74730efaf91db663b6b56aeac24219: [5, 21]
01308a408d1bc95c05b3ae5741f5632d: [2, 27]
19e7606fcf335b888ec28f0647cca8d9: [2, 16]
e92858f80f2272cd248fb5b906f9657d: [4, 27]
251fb46bb801fe730d05563ebdff5589: [12, 18]
b252ad8f22d98304a2e42a3f9cee3eb0: [2, 15]
79b8d2963f41dffb962e3b730248813c: [1, 24]
9a34ce21485e3e3c57d79f695dde1550: [2, 23]
